,Year,rang_age,popfemale_in_thsnd,pop_in_thsnd,Percent_fem_noeduc,Percent_pop_noeduc,pop_homme_thsnd_noeduc,percent_homme_noeduc,new_col
0,1970,15-19,734,1489.0,84.2,76.6,522.5459999999999,35.09375419744794,618.028
1,1970,20-24,562,1071.0,84.8,74.7,323.461,30.201774042950515,476.57599999999996
2,1970,25-29,518,930.0,93.06,86.6,323.32919999999996,34.76658064516129,482.05080000000004
3,1970,30-34,475,861.0,93.06,86.6,303.5909999999999,35.260278745644584,442.035
4,1970,35-39,422,803.0,97.4,93.6,340.57999999999987,42.41344956413448,411.028
5,1970,40-44,345,675.0,97.4,93.6,295.7699999999999,43.81777777777776,336.03000000000003
6,1970,45-49,245,513.0,97.6,95.6,251.30799999999996,48.987914230019484,239.12
7,1970,50-54,199,432.0,97.6,95.6,218.768,50.64074074074074,194.224
8,1970,55-59,138,304.0,97.4,96.3,158.34,52.08552631578948,134.412
9,1970,60-64,157,311.0,97.4,96.3,146.575,47.13022508038585,152.918
10,1975,15-19,906,1910.0,78.96,71.51,650.4634000000001,34.05567539267016,715.3775999999999
11,1975,20-24,696,1406.0,80.8,65.48,358.2808000000001,25.482275960170703,562.3679999999999
12,1975,25-29,530,1000.0,84.88,74.7,297.1360000000001,29.713600000000007,449.864
13,1975,30-34,490,871.0,93.06,86.86,300.55659999999995,34.50707233065442,455.994
14,1975,35-39,448,806.0,93.06,86.86,283.1828,35.13434243176178,416.90880000000004
15,1975,40-44,399,752.0,97.36,93.56,315.10479999999995,41.90223404255319,388.4664
16,1975,45-49,325,630.0,97.36,93.56,273.00800000000004,43.33460317460318,316.42
17,1975,50-54,228,474.0,97.65,95.56,230.31240000000003,48.589113924050636,222.642
18,1975,55-59,183,392.0,97.65,95.56,195.89570000000003,49.97339285714287,178.6995
19,1975,60-64,123,266.0,97.36,96.35,136.5382,51.330150375939844,119.75280000000001
20,1980,15-19,1068,2091.0,72.22,66.91,627.7785,30.02288378766141,771.3095999999999
21,1980,20-24,933,1860.0,75.56,60.39,418.2792,22.488129032258065,704.9748000000001
22,1980,25-29,720,1447.0,80.8,65.48,365.73560000000015,25.275438838977205,581.76
23,1980,30-34,540,1068.0,84.88,74.7,339.4440000000001,31.783146067415736,458.352
24,1980,35-39,424,801.0,93.06,86.86,301.1742,37.599775280898875,394.5744
25,1980,40-44,461,838.0,93.06,86.86,298.8801999999999,35.66589498806681,429.00660000000005
26,1980,45-49,349,687.0,97.36,93.56,302.9708,44.100553129548764,339.7864
27,1980,50-54,357,681.0,97.36,93.56,289.56840000000005,42.52105726872247,347.5752
28,1980,55-59,204,432.0,97.65,95.56,213.61319999999995,49.44749999999999,199.20600000000002
29,1980,60-64,198,420.0,97.65,95.56,208.00500000000002,49.525000000000006,193.347
30,1985,15-19,1171,2388.0,63.55,58.31,648.2723,27.147081239530984,744.1705
31,1985,20-24,1053,2059.0,68.82,55.79,424.0415000000001,20.594536182612924,724.6745999999999
32,1985,25-29,916,1824.0,75.56,60.39,409.38399999999996,22.444298245614032,692.1296000000001
33,1985,30-34,707,1416.0,80.8,65.48,355.9408000000001,25.137062146892664,571.256
34,1985,35-39,529,1043.0,84.88,74.7,330.1058000000001,31.649645254074795,449.0152
35,1985,40-44,415,780.0,93.06,86.86,291.309,37.347307692307695,386.199
36,1985,45-49,449,812.0,93.06,86.86,287.4637999999999,35.40194581280787,417.83940000000007
37,1985,50-54,338,659.0,97.36,93.56,287.4836,43.62421851289833,329.0768
38,1985,55-59,341,642.0,97.36,93.56,268.6576,41.84697819314642,331.99760000000003
39,1985,60-64,190,395.0,97.65,95.56,191.92700000000005,48.58911392405065,185.535
40,1990,15-19,1341,2722.0,55.55,49.31,597.2927000000001,21.943155767817785,744.9254999999999
41,1990,20-24,1150,2338.0,60.15,47.19,411.5772,17.603815226689477,691.725
42,1990,25-29,1028,2001.0,68.82,55.79,408.8883,20.434197901049476,707.4695999999999
43,1990,30-34,894,1771.0,75.56,60.39,394.00050000000005,22.247346132128744,675.5064000000001
44,1990,35-39,689,1374.0,80.8,65.48,342.98320000000007,24.962387190684137,556.712
45,1990,40-44,515,1010.0,84.88,74.7,317.338,31.419603960396042,437.132
46,1990,45-49,402,752.0,93.06,86.86,279.086,37.112500000000004,374.10120000000006
47,1990,50-54,434,778.0,93.06,86.86,271.8904,34.947352185089976,403.88040000000007
48,1990,55-59,323,622.0,97.36,93.56,267.4704,43.00167202572347,314.4728
49,1990,60-64,318,590.0,97.36,93.56,242.3992,41.084610169491526,309.6048
50,1995,15-19,1490,3035.0,54.15,48.51,665.4435000000001,21.925650741350907,806.8349999999999
51,1995,20-24,1313,2654.0,52.15,38.19,328.8331,12.390094197437831,684.7294999999999
52,1995,25-29,1116,2258.0,60.15,47.19,394.27619999999996,17.46130203720106,671.274
